_offense,_offense_conference,_defense,_defense_conference,_game_id,_id,_drive_number,_scoring,_start_period,_start_yardline,_start_yards_to_goal,_start_time,_end_period,_end_yardline,_end_yards_to_goal,_end_time,_plays,_yards,_drive_result,_is_home_offense,_start_offense_score,_start_defense_score,_end_offense_score,_end_defense_score,discriminator
North Texas,Conference USA,Houston Baptist,,401207098,4012070981,1,True,1,25,75,"{'minutes': 15, 'seconds': 0}",1,100,0,"{'minutes': 12, 'seconds': 31}",10,75,TD,True,0,0,7,0,
Houston Baptist,,North Texas,Conference USA,401207098,4012070982,2,False,1,90,90,"{'minutes': 12, 'seconds': 31}",1,5,5,"{'minutes': 8, 'seconds': 23}",9,85,DOWNS,False,0,7,0,7,
North Texas,Conference USA,Houston Baptist,,401207098,4012070983,3,True,1,5,95,"{'minutes': 8, 'seconds': 23}",1,100,0,"{'minutes': 6, 'seconds': 7}",8,95,TD,True,7,0,14,0,
Houston Baptist,,North Texas,Conference USA,401207098,4012070984,4,False,1,82,82,"{'minutes': 6, 'seconds': 7}",1,26,26,"{'minutes': 1, 'seconds': 43}",11,56,MISSED FG,False,0,14,0,14,
North Texas,Conference USA,Houston Baptist,,401207098,4012070985,5,True,1,26,74,"{'minutes': 1, 'seconds': 43}",2,100,0,"{'minutes': 14, 'seconds': 35}",8,74,TD,True,14,0,20,0,
Houston Baptist,,North Texas,Conference USA,401207098,4012070986,6,False,2,81,81,"{'minutes': 14, 'seconds': 35}",2,64,64,"{'minutes': 0, 'seconds': 0}",5,17,PUNT,False,0,20,0,20,
North Texas,Conference USA,Houston Baptist,,401207098,4012070987,7,False,2,23,77,"{'minutes': 12, 'seconds': 6}",2,23,77,"{'minutes': 0, 'seconds': 0}",2,0,INT,True,20,0,20,0,
Houston Baptist,,North Texas,Conference USA,401207098,4012070988,8,True,2,29,29,"{'minutes': 11, 'seconds': 35}",2,0,0,"{'minutes': 9, 'seconds': 39}",5,29,TD,False,0,20,7,20,
North Texas,Conference USA,Houston Baptist,,401207098,4012070989,9,False,2,25,75,"{'minutes': 9, 'seconds': 39}",2,52,48,"{'minutes': 0, 'seconds': 0}",4,27,PUNT,True,20,7,20,7,
Houston Baptist,,North Texas,Conference USA,401207098,40120709810,10,False,2,80,80,"{'minutes': 7, 'seconds': 44}",2,13,13,"{'minutes': 4, 'seconds': 25}",13,67,MISSED FG,False,7,20,7,20,
North Texas,Conference USA,Houston Baptist,,401207098,40120709811,11,True,2,20,80,"{'minutes': 4, 'seconds': 25}",2,87,13,"{'minutes': 1, 'seconds': 18}",9,67,FG,True,20,7,23,7,
Houston Baptist,,North Texas,Conference USA,401207098,40120709812,12,True,2,75,75,"{'minutes': 1, 'seconds': 18}",2,33,33,"{'minutes': 15, 'seconds': 0}",5,42,FG,False,7,23,10,23,
Houston Baptist,,North Texas,Conference USA,401207098,40120709813,13,False,3,75,75,"{'minutes': 15, 'seconds': 0}",3,33,33,"{'minutes': 10, 'seconds': 41}",11,42,MISSED FG,False,10,23,10,23,
North Texas,Conference USA,Houston Baptist,,401207098,40120709814,14,True,3,33,67,"{'minutes': 10, 'seconds': 41}",3,100,0,"{'minutes': 8, 'seconds': 23}",7,67,TD,True,23,10,29,10,
Houston Baptist,,North Texas,Conference USA,401207098,40120709815,15,False,3,75,75,"{'minutes': 8, 'seconds': 23}",3,71,71,"{'minutes': 7, 'seconds': 46}",3,4,PUNT,False,10,29,10,29,
North Texas,Conference USA,Houston Baptist,,401207098,40120709816,16,True,3,21,79,"{'minutes': 7, 'seconds': 46}",3,100,0,"{'minutes': 7, 'seconds': 8}",3,79,TD,True,29,10,36,10,
Houston Baptist,,North Texas,Conference USA,401207098,40120709817,17,False,3,75,75,"{'minutes': 7, 'seconds': 8}",3,72,72,"{'minutes': 5, 'seconds': 56}",3,3,PUNT,False,10,36,10,36,
North Texas,Conference USA,Houston Baptist,,401207098,40120709818,18,True,3,30,70,"{'minutes': 5, 'seconds': 56}",3,100,0,"{'minutes': 3, 'seconds': 37}",8,70,TD,True,36,10,43,10,
Houston Baptist,,North Texas,Conference USA,401207098,40120709819,19,True,3,75,75,"{'minutes': 3, 'seconds': 37}",3,0,0,"{'seconds': 30, 'minutes': 0}",10,75,TD,False,10,43,17,43,
North Texas,Conference USA,Houston Baptist,,401207098,40120709820,20,True,3,25,75,"{'seconds': 30, 'minutes': 0}",4,100,0,"{'minutes': 14, 'seconds': 25}",4,75,TD,True,43,17,50,17,
