_configuration,_id,_season,_week,_season_type,_start_date,_start_time_tbd,_neutral_site,_conference_game,_attendance,_venue_id,_venue,_home_id,_home_team,_home_conference,_home_points,_home_line_scores,_home_post_win_prob,_away_id,_away_team,_away_conference,_away_points,_away_line_scores,_away_post_win_prob,_excitement_index,_highlights,_notes,discriminator
<cfbd.configuration.Configuration object at 0x00000231BF38AAF0>,322430238,2012,1,regular,2012-08-30T23:00:00.000Z,,False,True,38393,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,13,"[0, 10, 3, 0]",0.4810050216379631,2579,South Carolina,SEC,17,"[7, 3, 0, 7]",0.5189949783620369,6.67378264793589,,,
<cfbd.configuration.Configuration object at 0x00000231BF38F160>,322432006,2012,1,regular,2012-08-30T23:00:00.000Z,,False,False,12616,3768,Summa Field at InfoCision Stadium,2006,Akron,Mid-American,14,"[0, 0, 7, 7]",0.20378637134909341,2116,UCF,Conference USA,56,"[7, 28, 14, 7]",0.7962136286509066,2.01013241916277,,,
<cfbd.configuration.Configuration object at 0x00000231BF38F760>,322432050,2012,1,regular,2012-08-30T23:00:00.000Z,,False,True,12725,3919,Scheumann Stadium,2050,Ball State,Mid-American,37,"[10, 3, 21, 3]",0.9799201263687518,2199,Eastern Michigan,Mid-American,26,"[0, 13, 0, 13]",0.02007987363124819,3.50953102835795,,,
<cfbd.configuration.Configuration object at 0x00000231BF38FD60>,322432117,2012,1,regular,2012-08-30T23:00:00.000Z,,False,False,15250,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,38,"[10, 14, 7, 7]",0.6303081261505843,2546,Southeast Missouri State,,27,"[10, 14, 3, 0]",0.3696918738494157,10.8367261661988,,,
<cfbd.configuration.Configuration object at 0x00000231BF3953A0>,322432309,2012,1,regular,2012-08-30T23:00:00.000Z,,False,False,15121,3696,Dix Stadium,2309,Kent State,Mid-American,41,"[17, 10, 7, 7]",0.35542781007372926,119,Towson,,21,"[0, 7, 0, 14]",0.6445721899262707,1.55902925020132,,,
<cfbd.configuration.Configuration object at 0x00000231BF3959A0>,322430254,2012,1,regular,2012-08-30T23:15:00.000Z,,False,False,45273,587,Rice-Eccles Stadium,254,Utah,Pac-12,41,"[0, 21, 7, 13]",0.9999962695872247,2458,Northern Colorado,,0,"[0, 0, 0, 0]",3.7304127753490235e-06,2.50471557930262,,,
<cfbd.configuration.Configuration object at 0x00000231BF395FA0>,322430041,2012,1,regular,2012-08-30T23:30:00.000Z,,False,False,35270,3892,Rentschler Field,41,Connecticut,Big East,37,"[7, 13, 7, 10]",0.9999953693350744,113,UMass,Mid-American,0,"[0, 0, 0, 0]",4.630664925620032e-06,2.11834397920154,,,
<cfbd.configuration.Configuration object at 0x00000231BF39A5E0>,322430242,2012,1,regular,2012-08-30T23:30:00.000Z,,False,False,23105,3895,Rice Stadium,242,Rice,Conference USA,24,"[10, 14, 0, 0]",0.6386872229398914,26,UCLA,Pac-12,49,"[19, 16, 0, 14]",0.36131277706010856,4.23928279839615,,,
<cfbd.configuration.Configuration object at 0x00000231BF39ABE0>,322432393,2012,1,regular,2012-08-30T23:30:00.000Z,,False,False,18690,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,21,"[3, 3, 0, 15]",0.6103987323014604,2377,McNeese,,27,"[0, 14, 10, 3]",0.38960126769853964,3.58080754685912,,,
<cfbd.configuration.Configuration object at 0x00000231BF3A1220>,322430328,2012,1,regular,2012-08-31T00:00:00.000Z,,False,False,17009,3905,Romney Stadium,328,Utah State,Western Athletic,34,"[21, 0, 7, 6]",,253,Southern Utah,,3,"[0, 3, 0, 0]",,,,,
