_id,_season,_week,_season_type,_home_team,_home_conference,_home_score,_away_team,_away_conference,_away_score,_lines,discriminator
400869090,2016,1,regular,California,Pac-12,51,Hawai'i,Mountain West,31,"[{'provider': 'consensus', 'spread': '-23', 'formattedSpread': 'California -23', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-21.5', 'formattedSpread': 'California -21.5', 'spreadOpen': None, 'overUnder': '66', 'overUnderOpen': None}]",
400868977,2016,1,regular,Tennessee,SEC,20,Appalachian State,Sun Belt,13,"[{'provider': 'consensus', 'spread': '-23', 'formattedSpread': 'Tennessee -23', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-21.5', 'formattedSpread': 'Tennessee -21.5', 'spreadOpen': None, 'overUnder': '58', 'overUnderOpen': None}]",
400869341,2016,1,regular,Louisville,ACC,70,Charlotte,Conference USA,14,"[{'provider': 'consensus', 'spread': '-39.5', 'formattedSpread': 'Louisville -39.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-38.5', 'formattedSpread': 'Louisville -38.5', 'spreadOpen': None, 'overUnder': '58.5', 'overUnderOpen': None}]",
400869257,2016,1,regular,Central Michigan,Mid-American,49,Presbyterian College,,3,"[{'provider': 'consensus', 'spread': '-33', 'formattedSpread': 'Central Michigan -33', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400869421,2016,1,regular,Wake Forest,ACC,7,Tulane,American Athletic,3,"[{'provider': 'consensus', 'spread': '-16', 'formattedSpread': 'Wake Forest -16', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-14', 'formattedSpread': 'Wake Forest -14', 'spreadOpen': None, 'overUnder': '43', 'overUnderOpen': None}]",
400869502,2016,1,regular,Cincinnati,American Athletic,28,UT Martin,,7,"[{'provider': 'consensus', 'spread': '-24', 'formattedSpread': 'Cincinnati -24', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400869503,2016,1,regular,Connecticut,American Athletic,24,Maine,,21,"[{'provider': 'consensus', 'spread': '-27', 'formattedSpread': 'Connecticut -27', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400869422,2016,1,regular,NC State,ACC,48,William & Mary,,14,"[{'provider': 'consensus', 'spread': '-30.5', 'formattedSpread': 'NC State -30.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400869342,2016,1,regular,Florida International,Conference USA,13,Indiana,Big Ten,34,"[{'provider': 'consensus', 'spread': '3', 'formattedSpread': 'Indiana -3', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '10', 'formattedSpread': 'Indiana -10', 'spreadOpen': None, 'overUnder': '64', 'overUnderOpen': None}]",
400868968,2016,1,regular,Vanderbilt,SEC,10,South Carolina,SEC,13,"[{'provider': 'consensus', 'spread': '4', 'formattedSpread': 'South Carolina -4', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-5', 'formattedSpread': 'Vanderbilt -5', 'spreadOpen': None, 'overUnder': '40.5', 'overUnderOpen': None}]",
400869091,2016,1,regular,Utah,Pac-12,24,Southern Utah,,0,"[{'provider': 'consensus', 'spread': '-34', 'formattedSpread': 'Utah -34', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400869173,2016,1,regular,Utah State,Mountain West,45,Weber State,,6,"[{'provider': 'consensus', 'spread': '-21', 'formattedSpread': 'Utah State -21', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}]",
400869347,2016,1,regular,Western Kentucky,Conference USA,46,Rice,Conference USA,14,"[{'provider': 'consensus', 'spread': '-14.5', 'formattedSpread': 'Western Kentucky -14.5', 'spreadOpen': None, 'overUnder': None, 'overUnderOpen': None}, {'provider': 'teamrankings', 'spread': '-19', 'formattedSpread': 'Western Kentucky -19', 'spreadOpen': None, 'overUnder': '64.5', 'overUnderOpen': None}]",
