_season,_player_id,_player,_team,_conference,_category,_stat_type,_stat,discriminator
,531469,Autrey Golden,UTEP,Conference USA,rushing,YDS,101.0,
,546493,Tim Kamana,Wyoming,Mountain West,interceptions,AVG,0.0,
,505968,John Henson,Arkansas,SEC,kicking,XPA,33.0,
,559559,Brandon Powell,Florida,SEC,receiving,LONG,42.0,
,550724,Ronald Butler,Utah State,Mountain West,passing,INT,1.0,
,3126159,Terrell Green,East Carolina,American Athletic,receiving,REC,1.0,
,530360,Brandon Radcliff,Louisville,ACC,kickReturns,YDS,261.0,
,547235,Sam Irwin-Hill,Arkansas,SEC,punting,NO,58.0,
,545415,Rodriguez Coleman,Kansas,Big 12,receiving,REC,3.0,
,518344,Gary Nova,Rutgers,Big Ten,passing,YPA,8.7,
,482359,Gabe Holmes,Purdue,Big Ten,receiving,YPR,10.5,
,549830,Dontre Wilson,Ohio State,Big Ten,rushing,CAR,18.0,
,531654,Taylor Oldham,UCF,American Athletic,receiving,YDS,35.0,
,3133355,Corey Avery,Kansas,Big 12,rushing,YPC,4.2,
,559751,Brandon Harris,LSU,SEC,passing,COMPLETIONS,25.0,
,513339,Javorius Allen,USC,Pac-12,rushing,YDS,1489.0,
,546810,Jalen Ramsey,Florida State,ACC,interceptions,INT,2.0,
,530979,Fabian Moreau,UCLA,Pac-12,interceptions,YDS,0.0,
,502865,Bernard Blake,Colorado State,Mountain West,interceptions,YDS,7.0,
,534864,Robert Barber,Washington State,Pac-12,kickReturns,YDS,3.0,
,531229,Jordan Moore,TCU,Big 12,receiving,LONG,14.0,
,3122166,Dallas Rivers,Vanderbilt,SEC,receiving,YPR,7.0,
,531128,Ryan Rodwell,Georgia Tech,ACC,rushing,CAR,1.0,
,517470,Marlin Lane,Tennessee,SEC,rushing,TD,1.0,
,518394,Macon Plewa,Iowa,Big Ten,receiving,YDS,38.0,
,505168,James Butler,Louisiana,Sun Belt,receiving,YDS,470.0,
,3126046,Aaron Bradley,Ohio,Mid-American,receiving,TD,0.0,
,550492,Keith Ford,Oklahoma,Big 12,rushing,TD,5.0,
,531765,Jordan Williams-Lambert,Ball State,Mid-American,receiving,LONG,44.0,
,550947,Torii Hunter Jr.,Notre Dame,FBS Independents,receiving,YDS,65.0,
,547019,Chuck Clark,Virginia Tech,ACC,interceptions,TD,0.0,
,521344,Brandon Howard,UMass,Mid-American,kickReturns,NO,2.0,
,510109,Zachary Lopez,Middle Tennessee,Conference USA,punting,In 20,6.0,
,545278,Kendall Moore,Syracuse,ACC,receiving,TD,1.0,
,535893,Jonathan Williams,Arkansas,SEC,passing,COMPLETIONS,0.0,
,3139026,Hayden Lekacz,Vanderbilt,SEC,kicking,FGA,1.0,
,547556,Andre Patton,Rutgers,Big Ten,receiving,YPR,11.2,
,538416,Nate Dreslinski,Air Force,Mountain West,kickReturns,LONG,12.0,
,546271,Brian Burrell,Fresno State,Mountain West,interceptions,AVG,5.0,
,503922,Terrance Broadway,Louisiana,Sun Belt,passing,TD,13.0,
,3144980,Mick Ellis,Iowa,Big Ten,kicking,XPA,7.0,
,504955,Joey Iosefa,Hawai'i,Mountain West,receiving,REC,11.0,
,546125,Kenzee Jackson,Louisiana Monroe,Sun Belt,kickReturns,LONG,26.0,
,516220,Noah Copeland,Navy,FBS Independents,rushing,CAR,129.0,
,3125299,Mitch Ravizza,San José State,Mountain West,passing,PCT,0.609,
