_season,_id,_name,_position,_team,_conference,_usage,discriminator
2014,500913,Andrew Hendrix,QB,Miami (OH),Mid-American,"{'overall': 0.7373, 'pass': 0.9803, 'rush': 0.3654, 'firstDown': 0.7248, 'secondDown': 0.703, 'thirdDown': 0.837, 'standardDowns': 0.71, 'passingDowns': 0.784}",
2014,501565,Pete Thomas,QB,Louisiana Monroe,Sun Belt,"{'overall': 0.6726, 'pass': 0.9507, 'rush': 0.2109, 'firstDown': 0.6206, 'secondDown': 0.666, 'thirdDown': 0.838, 'standardDowns': 0.63, 'passingDowns': 0.752}",
2014,500938,Shane Carden,QB,East Carolina,American Athletic,"{'overall': 0.6614, 'pass': 0.9714, 'rush': 0.1564, 'firstDown': 0.6215, 'secondDown': 0.677, 'thirdDown': 0.787, 'standardDowns': 0.637, 'passingDowns': 0.713}",
2014,513949,Taylor Heinicke,QB,Old Dominion,Conference USA,"{'overall': 0.6542, 'pass': 0.9977, 'rush': 0.1683, 'firstDown': 0.5516, 'secondDown': 0.76, 'thirdDown': 0.721, 'standardDowns': 0.581, 'passingDowns': 0.817}",
2014,531864,Colin Reardon,WR,Kent State,Mid-American,"{'overall': 0.6283, 'pass': 0.8908, 'rush': 0.1923, 'firstDown': 0.6025, 'secondDown': 0.604, 'thirdDown': 0.771, 'standardDowns': 0.573, 'passingDowns': 0.725}",
2014,480846,C.J. Brown,QB,Maryland,Big Ten,"{'overall': 0.6221, 'pass': 0.8892, 'rush': 0.3371, 'firstDown': 0.5831, 'secondDown': 0.583, 'thirdDown': 0.807, 'standardDowns': 0.573, 'passingDowns': 0.714}",
2014,538156,Fredi Knighten,QB,Arkansas State,Sun Belt,"{'overall': 0.6192, 'pass': 0.966, 'rush': 0.3277, 'firstDown': 0.5785, 'secondDown': 0.591, 'thirdDown': 0.772, 'standardDowns': 0.548, 'passingDowns': 0.762}",
2014,530944,Patrick Towles,QB,Kentucky,SEC,"{'overall': 0.6191, 'pass': 0.9747, 'rush': 0.2785, 'firstDown': 0.5868, 'secondDown': 0.573, 'thirdDown': 0.783, 'standardDowns': 0.554, 'passingDowns': 0.738}",
2014,549759,P.J. Walker,QB,Temple,American Athletic,"{'overall': 0.6183, 'pass': 0.9474, 'rush': 0.2464, 'firstDown': 0.5975, 'secondDown': 0.606, 'thirdDown': 0.738, 'standardDowns': 0.558, 'passingDowns': 0.734}",
2014,516347,Marquise Williams,QB,North Carolina,ACC,"{'overall': 0.6122, 'pass': 0.844, 'rush': 0.3571, 'firstDown': 0.5428, 'secondDown': 0.613, 'thirdDown': 0.798, 'standardDowns': 0.553, 'passingDowns': 0.753}",
2014,512030,Dak Prescott,QB,Mississippi State,SEC,"{'overall': 0.6105, 'pass': 0.9566, 'rush': 0.3444, 'firstDown': 0.5664, 'secondDown': 0.6, 'thirdDown': 0.758, 'standardDowns': 0.569, 'passingDowns': 0.721}",
2014,517127,Trevone Boykin,QB,TCU,Big 12,"{'overall': 0.6076, 'pass': 0.936, 'rush': 0.2654, 'firstDown': 0.5275, 'secondDown': 0.672, 'thirdDown': 0.747, 'standardDowns': 0.539, 'passingDowns': 0.767}",
2014,550158,Jake Waters,QB,Kansas State,Big 12,"{'overall': 0.6033, 'pass': 0.9595, 'rush': 0.277, 'firstDown': 0.522, 'secondDown': 0.639, 'thirdDown': 0.797, 'standardDowns': 0.529, 'passingDowns': 0.773}",
2014,3124848,Nick Arbuckle,QB,Georgia State,Sun Belt,"{'overall': 0.6032, 'pass': 0.9606, 'rush': 0.1242, 'firstDown': 0.5441, 'secondDown': 0.567, 'thirdDown': 0.785, 'standardDowns': 0.511, 'passingDowns': 0.773}",
2014,3124092,John Wolford,QB,Wake Forest,ACC,"{'overall': 0.6008, 'pass': 0.9532, 'rush': 0.181, 'firstDown': 0.5513, 'secondDown': 0.588, 'thirdDown': 0.738, 'standardDowns': 0.541, 'passingDowns': 0.69}",
2014,501241,Cody Fajardo,QB,Nevada,Mountain West,"{'overall': 0.5959, 'pass': 1, 'rush': 0.2827, 'firstDown': 0.5225, 'secondDown': 0.596, 'thirdDown': 0.781, 'standardDowns': 0.504, 'passingDowns': 0.8}",
2014,552329,Christian Hackenberg,QB,Penn State,Big Ten,"{'overall': 0.5948, 'pass': 0.9758, 'rush': 0.1216, 'firstDown': 0.5486, 'secondDown': 0.576, 'thirdDown': 0.763, 'standardDowns': 0.521, 'passingDowns': 0.736}",
2014,504866,Brandon Doughty,QB,Western Kentucky,Conference USA,"{'overall': 0.5901, 'pass': 0.9894, 'rush': 0.0587, 'firstDown': 0.5076, 'secondDown': 0.636, 'thirdDown': 0.793, 'standardDowns': 0.51, 'passingDowns': 0.785}",
2014,552097,Anu Solomon,QB,Arizona,Pac-12,"{'overall': 0.582, 'pass': 0.9551, 'rush': 0.1827, 'firstDown': 0.4827, 'secondDown': 0.665, 'thirdDown': 0.718, 'standardDowns': 0.505, 'passingDowns': 0.736}",
2014,548240,Tyler Jones,QB,Texas State,Sun Belt,"{'overall': 0.5808, 'pass': 0.9825, 'rush': 0.2821, 'firstDown': 0.5086, 'secondDown': 0.588, 'thirdDown': 0.754, 'standardDowns': 0.52, 'passingDowns': 0.718}",
2014,504786,Sean Mannion,QB,Oregon State,Pac-12,"{'overall': 0.5787, 'pass': 0.9641, 'rush': 0.0465, 'firstDown': 0.5196, 'secondDown': 0.57, 'thirdDown': 0.771, 'standardDowns': 0.521, 'passingDowns': 0.699}",
2014,547401,Jared Goff,QB,California,Pac-12,"{'overall': 0.5722, 'pass': 0.9496, 'rush': 0.0754, 'firstDown': 0.4861, 'secondDown': 0.626, 'thirdDown': 0.715, 'standardDowns': 0.488, 'passingDowns': 0.763}",
